campaign_id,channel,impressions,clicks,conversions,cost,date
CAMP1,Facebook,10000,500,50,300,2024-01-01
CAMP1,Facebook,12000,600,60,320,2024-01-02
CAMP1,Facebook,11000,550,55,310,2024-01-03
CAMP1,Facebook,13000,650,65,330,2024-01-04
CAMP1,Facebook,12500,620,62,325,2024-01-05
CAMP2,Google,20000,800,40,500,2024-01-01
CAMP2,Google,22000,880,44,520,2024-01-02
CAMP2,Google,21000,820,41,510,2024-01-03
CAMP2,Google,23000,900,45,530,2024-01-04
CAMP2,Google,22500,870,43,525,2024-01-05
CAMP3,Instagram,15000,300,15,400,2024-01-01
CAMP3,Instagram,16000,320,16,420,2024-01-02
CAMP3,Instagram,15500,310,15,410,2024-01-03
CAMP3,Instagram,16500,330,16,430,2024-01-04
CAMP3,Instagram,15800,315,15,415,2024-01-05
CAMP4,Email,8000,700,140,200,2024-01-01
CAMP4,Email,8500,720,150,210,2024-01-02
CAMP4,Email,8200,710,145,205,2024-01-03
CAMP4,Email,8700,730,155,215,2024-01-04
CAMP4,Email,8600,725,150,212,2024-01-05
CAMP5,YouTube,30000,900,18,800,2024-01-01
CAMP5,YouTube,32000,950,19,820,2024-01-02
CAMP5,YouTube,31000,920,18,810,2024-01-03
CAMP5,YouTube,33000,970,19,830,2024-01-04
CAMP5,YouTube,32500,960,18,825,2024-01-05
CAMP6,Facebook,10000,500,50,300,2024-01-01
CAMP6,Facebook,12000,600,60,320,2024-01-02
CAMP6,Facebook,11000,550,55,310,2024-01-03
CAMP6,Facebook,13000,650,65,330,2024-01-04
CAMP6,Facebook,12500,620,62,325,2024-01-05
CAMP7,Google,24000,950,47,540,2024-01-01
CAMP7,Google,25000,980,49,550,2024-01-02
CAMP7,Google,24500,970,48,545,2024-01-03
CAMP7,Google,25500,1000,50,555,2024-01-04
CAMP7,Google,24800,960,48,548,2024-01-05
CAMP8,Instagram,17000,340,17,440,2024-01-01
CAMP8,Instagram,17500,350,18,450,2024-01-02
CAMP8,Instagram,17200,345,17,445,2024-01-03
CAMP8,Instagram,17800,360,18,455,2024-01-04
CAMP8,Instagram,17400,350,17,448,2024-01-05
CAMP9,Email,9000,750,160,220,2024-01-01
CAMP9,Email,9200,760,165,225,2024-01-02
CAMP9,Email,9100,755,162,223,2024-01-03
CAMP9,Email,9300,770,168,228,2024-01-04
CAMP9,Email,9250,765,165,226,2024-01-05
CAMP10,YouTube,34000,1000,20,850,2024-01-01
CAMP10,YouTube,35000,1050,21,870,2024-01-02
CAMP10,YouTube,34500,1020,20,860,2024-01-03
CAMP10,YouTube,35500,1080,21,880,2024-01-04
CAMP10,YouTube,34800,1040,20,865,2024-01-05
